Entry Time,Exit Time,Direction,Entry Price,Exit Price,PnL,Exit Reason,SL Price,Cumulative PnL,Duration,MAE,MFE
2023-06-14 00:20:00,2023-06-14 00:30:00,Short,1945.23,1945.23,-0.0,SL Hit,1945.23,-0.0,10.0,0.2999999999999545,-1.0299999999999727
2023-06-14 00:35:00,2023-06-14 00:40:00,Long,1945.08,1944.95,-0.12999999999988177,SL Hit,1944.95,-0.12999999999988177,5.0,-0.37999999999988177,0.21000000000003638
2023-06-14 00:45:00,2023-06-14 01:20:00,Long,1944.86,1946.6,1.740000000000009,Signal Reversed,1943.8,1.6100000000001273,35.0,-1.0599999999999454,1.8500000000001364
2023-06-14 01:20:00,2023-06-14 01:35:00,Short,1946.6,1946.6,-0.0,SL Hit,1946.6,1.6100000000001273,15.0,0.3000000000001819,-1.199999999999818
2023-06-14 01:40:00,2023-06-14 01:45:00,Short,1946.8,1946.8,-0.0,SL Hit,1946.8,1.6100000000001273,5.0,0.3500000000001364,-1.0499999999999545
2023-06-14 01:50:00,2023-06-14 02:25:00,Short,1947.55,1947.55,-0.0,SL Hit,1947.55,1.6100000000001273,35.0,0.21000000000003638,-1.3099999999999454
2023-06-14 02:30:00,2023-06-14 03:30:00,Short,1947.77,1947.77,-0.0,SL Hit,1947.77,1.6100000000001273,60.0,0.2400000000000091,-1.4700000000000273
2023-06-14 03:35:00,2023-06-14 03:45:00,Short,1948.04,1948.12,-0.07999999999992724,SL Hit,1948.12,1.5300000000002,10.0,0.17000000000007276,-0.37999999999988177
2023-06-14 04:00:00,2023-06-14 04:30:00,Short,1949.14,1949.14,-0.0,SL Hit,1949.14,1.5300000000002,30.0,0.029999999999972715,-1.540000000000191
2023-06-14 04:40:00,2023-06-14 04:45:00,Short,1949.12,1949.12,-0.0,SL Hit,1949.12,1.5300000000002,5.0,0.17000000000007276,-0.8199999999999363
2023-06-14 05:00:00,2023-06-14 05:10:00,Short,1948.89,1948.66,0.2300000000000182,Signal Reversed,1949.17,1.7600000000002183,10.0,0.2799999999999727,-0.5600000000001728
2023-06-14 05:10:00,2023-06-14 05:15:00,Long,1948.66,1948.33,-0.3300000000001546,SL Hit,1948.33,1.4300000000000637,5.0,-1.0600000000001728,0.25
2023-06-14 05:30:00,2023-06-14 05:55:00,Long,1946.75,1946.05,-0.7000000000000455,SL Hit,1946.05,0.7300000000000182,25.0,-0.7000000000000455,1.2300000000000182
2023-06-14 06:05:00,2023-06-14 06:45:00,Long,1945.87,1945.58,-0.2899999999999636,SL Hit,1945.58,0.44000000000005457,40.0,-0.34999999999990905,1.7600000000002183
2023-06-14 06:50:00,2023-06-14 06:55:00,Long,1946.37,1945.6,-0.7699999999999818,SL Hit,1945.6,-0.32999999999992724,5.0,-0.8699999999998909,0.2400000000000091
2023-06-14 07:05:00,2023-06-14 07:15:00,Long,1945.1,1945.1,0.0,SL Hit,1945.1,-0.32999999999992724,10.0,-0.2999999999999545,1.2200000000000273
2023-06-14 07:20:00,2023-06-14 07:35:00,Long,1945.73,1950.28,4.5499999999999545,Signal Reversed,1945.73,4.220000000000027,15.0,0.0,4.7999999999999545
2023-06-14 07:35:00,2023-06-14 07:40:00,Short,1950.28,1950.53,-0.25,SL Hit,1950.53,3.9700000000000273,5.0,0.4500000000000455,-1.1099999999999
2023-06-14 07:50:00,2023-06-14 09:00:00,Short,1950.75,1949.97,0.7799999999999727,Signal Reversed,1951.37,4.75,70.0,0.6199999999998909,-2.1900000000000546
2023-06-14 09:00:00,2023-06-14 09:05:00,Long,1949.97,1949.64,-0.32999999999992724,SL Hit,1949.64,4.420000000000073,5.0,-0.37000000000011823,0.9300000000000637
2023-06-14 09:10:00,2023-06-14 09:35:00,Long,1950.66,1952.69,2.0299999999999727,Signal Reversed,1950.66,6.4500000000000455,25.0,0.0,2.099999999999909
2023-06-14 09:35:00,2023-06-14 10:15:00,Short,1952.69,1950.0,2.6900000000000546,Signal Reversed,1952.76,9.1400000000001,40.0,0.06999999999993634,-3.3900000000001
2023-06-14 10:15:00,2023-06-14 10:30:00,Long,1950.0,1949.3,-0.7000000000000455,SL Hit,1949.3,8.440000000000055,15.0,-1.1700000000000728,0.5699999999999363
2023-06-14 10:35:00,2023-06-14 10:50:00,Long,1948.78,1948.02,-0.7599999999999909,SL Hit,1948.02,7.680000000000064,15.0,-0.7699999999999818,0.17000000000007276
2023-06-14 11:10:00,2023-06-14 11:15:00,Long,1947.14,1947.12,-0.020000000000209184,SL Hit,1947.12,7.6599999999998545,5.0,-1.1400000000001,0.37999999999988177
2023-06-14 11:20:00,2023-06-14 11:25:00,Long,1946.97,1946.78,-0.19000000000005457,SL Hit,1946.78,7.4699999999998,5.0,-0.9200000000000728,0.7899999999999636
2023-06-14 11:30:00,2023-06-14 11:35:00,Long,1946.23,1945.92,-0.30999999999994543,SL Hit,1945.92,7.1599999999998545,5.0,-0.40000000000009095,0.32999999999992724
2023-06-14 11:40:00,2023-06-14 11:45:00,Long,1946.16,1946.14,-0.01999999999998181,SL Hit,1946.14,7.139999999999873,5.0,-0.8600000000001273,0.5
2023-06-14 11:50:00,2023-06-14 12:45:00,Long,1946.28,1959.7,13.420000000000073,Signal Reversed,1946.13,20.559999999999945,55.0,-0.14999999999986358,13.420000000000073
2023-06-14 12:45:00,2023-06-14 14:40:00,Short,1959.7,1956.23,3.4700000000000273,Signal Reversed,1959.7,24.029999999999973,115.0,-0.0,-4.730000000000018
2023-06-14 14:40:00,2023-06-14 14:45:00,Long,1956.23,1956.23,0.0,SL Hit,1956.23,24.029999999999973,5.0,-0.009999999999990905,1.3799999999998818
2023-06-14 14:50:00,2023-06-14 15:30:00,Long,1956.52,1958.34,1.8199999999999363,Signal Reversed,1956.12,25.84999999999991,40.0,-0.40000000000009095,2.3900000000001
2023-06-14 15:30:00,2023-06-14 15:40:00,Short,1958.34,1956.64,1.699999999999818,Signal Reversed,1958.91,27.549999999999727,10.0,0.5700000000001637,-2.439999999999827
2023-06-14 15:40:00,2023-06-14 15:45:00,Long,1956.64,1956.64,0.0,SL Hit,1956.64,27.549999999999727,5.0,-0.7300000000000182,0.6699999999998454
2023-06-14 15:50:00,2023-06-14 16:20:00,Long,1955.44,1955.44,0.0,SL Hit,1955.44,27.549999999999727,30.0,-0.2899999999999636,1.9400000000000546
2023-06-14 16:25:00,2023-06-14 16:50:00,Long,1954.1,1955.69,1.5900000000001455,Signal Reversed,1954.1,29.139999999999873,25.0,0.0,2.1400000000001
2023-06-14 16:50:00,2023-06-14 17:05:00,Short,1955.69,1954.52,1.1700000000000728,Signal Reversed,1955.72,30.309999999999945,15.0,0.029999999999972715,-1.6200000000001182
2023-06-14 17:05:00,2023-06-14 17:45:00,Long,1954.52,1954.16,-0.35999999999989996,SL Hit,1954.16,29.950000000000045,40.0,-1.0299999999999727,1.1100000000001273
2023-06-14 17:50:00,2023-06-14 18:00:00,Long,1953.32,1953.21,-0.10999999999989996,SL Hit,1953.21,29.840000000000146,10.0,-10.019999999999982,0.7699999999999818
2023-06-14 18:10:00,2023-06-14 20:40:00,Long,1943.85,1941.55,-2.2999999999999545,SL Hit,1941.55,27.54000000000019,150.0,-2.599999999999909,8.75
2023-06-14 20:45:00,2023-06-14 20:50:00,Long,1941.15,1940.54,-0.6100000000001273,SL Hit,1940.54,26.930000000000064,5.0,-1.1400000000001,0.4199999999998454
2023-06-14 20:55:00,2023-06-14 23:40:00,Long,1940.02,1944.43,4.410000000000082,Signal Reversed,1939.66,31.340000000000146,165.0,-0.35999999999989996,5.110000000000127
2023-06-14 23:40:00,2023-06-14 23:55:00,Short,1944.43,1944.64,-0.21000000000003638,SL Hit,1944.64,31.13000000000011,15.0,0.7300000000000182,-1.6300000000001091
2023-06-15 00:00:00,2023-06-15 00:25:00,Short,1944.8,1942.2,2.599999999999909,Signal Reversed,1945.08,33.73000000000002,25.0,0.2799999999999727,-3.2000000000000455
2023-06-15 00:25:00,2023-06-15 00:30:00,Long,1942.2,1942.13,-0.06999999999993634,SL Hit,1942.13,33.66000000000008,5.0,-1.400000000000091,0.5
2023-06-15 00:55:00,2023-06-15 01:00:00,Long,1938.69,1938.69,0.0,SL Hit,1938.69,33.66000000000008,5.0,-2.019999999999982,0.5599999999999454
2023-06-15 01:05:00,2023-06-15 01:10:00,Long,1936.93,1936.93,0.0,SL Hit,1936.93,33.66000000000008,5.0,-1.3600000000001273,1.099999999999909
2023-06-15 01:35:00,2023-06-15 01:45:00,Long,1934.79,1934.79,0.0,SL Hit,1934.79,33.66000000000008,10.0,-0.32999999999992724,1.400000000000091
2023-06-15 01:50:00,2023-06-15 01:55:00,Long,1934.55,1934.31,-0.2400000000000091,SL Hit,1934.31,33.42000000000007,5.0,-1.5599999999999454,0.38000000000010914
2023-06-15 02:00:00,2023-06-15 02:30:00,Long,1933.19,1932.9,-0.2899999999999636,SL Hit,1932.9,33.13000000000011,30.0,-0.39000000000010004,2.240000000000009
2023-06-15 02:35:00,2023-06-15 03:40:00,Long,1934.12,1936.28,2.160000000000082,Signal Reversed,1933.61,35.29000000000019,65.0,-0.5099999999999909,2.2200000000000273
2023-06-15 03:40:00,2023-06-15 04:05:00,Short,1936.28,1933.97,2.3099999999999454,Signal Reversed,1936.34,37.600000000000136,25.0,0.05999999999994543,-3.0799999999999272
2023-06-15 04:05:00,2023-06-15 04:10:00,Long,1933.97,1933.65,-0.31999999999993634,SL Hit,1933.65,37.2800000000002,5.0,-0.36000000000012733,0.6600000000000819
