Entry Time,Exit Time,Direction,Entry Price,Exit Price,PnL,Exit Reason,SL Price,Cumulative PnL,Duration,MAE,MFE
2023-06-14 01:00:00,2023-06-14 01:05:00,Long,1944.37,1944.3,-0.06999999999993634,SL Hit,1944.3,-0.06999999999993634,5.0,-0.2199999999997999,0.5500000000001819
2023-06-14 01:10:00,2023-06-14 01:20:00,Long,1944.92,1946.6,1.6799999999998363,Signal Reversed,1944.46,1.6099999999999,10.0,-0.4600000000000364,1.7899999999999636
2023-06-14 01:20:00,2023-06-14 01:35:00,Short,1946.6,1946.6,-0.0,SL Hit,1946.6,1.6099999999999,15.0,0.3000000000001819,-1.199999999999818
2023-06-14 01:40:00,2023-06-14 01:45:00,Short,1946.8,1946.8,-0.0,SL Hit,1946.8,1.6099999999999,5.0,0.3500000000001364,-1.0499999999999545
2023-06-14 01:55:00,2023-06-14 02:20:00,Short,1947.13,1947.35,-0.2199999999997999,SL Hit,1947.35,1.3900000000001,25.0,0.31999999999993634,-0.8900000000001
2023-06-14 02:30:00,2023-06-14 03:30:00,Short,1947.77,1947.77,-0.0,SL Hit,1947.77,1.3900000000001,60.0,0.2400000000000091,-1.4700000000000273
2023-06-14 03:35:00,2023-06-14 03:45:00,Short,1948.04,1948.12,-0.07999999999992724,SL Hit,1948.12,1.3100000000001728,10.0,0.17000000000007276,-0.37999999999988177
2023-06-14 04:00:00,2023-06-14 04:15:00,Short,1949.14,1947.98,1.1600000000000819,Signal Reversed,1949.14,2.4700000000002547,15.0,-0.0,-1.3400000000001455
2023-06-14 04:15:00,2023-06-14 04:20:00,Long,1947.98,1947.98,0.0,SL Hit,1947.98,2.4700000000002547,5.0,-0.2799999999999727,0.4800000000000182
2023-06-14 04:25:00,2023-06-14 04:55:00,Long,1948.02,1949.25,1.2300000000000182,Signal Reversed,1947.6,3.700000000000273,30.0,-0.42000000000007276,1.3399999999999181
2023-06-14 04:55:00,2023-06-14 05:30:00,Short,1949.25,1946.75,2.5,Signal Reversed,1949.25,6.200000000000273,35.0,-0.0,-3.2000000000000455
2023-06-14 05:30:00,2023-06-14 05:55:00,Long,1946.75,1946.05,-0.7000000000000455,SL Hit,1946.05,5.500000000000227,25.0,-0.7000000000000455,1.2300000000000182
2023-06-14 06:05:00,2023-06-14 06:45:00,Long,1945.87,1945.58,-0.2899999999999636,SL Hit,1945.58,5.210000000000264,40.0,-0.34999999999990905,1.7600000000002183
2023-06-14 06:50:00,2023-06-14 06:55:00,Long,1946.37,1945.6,-0.7699999999999818,SL Hit,1945.6,4.440000000000282,5.0,-0.8699999999998909,0.2400000000000091
2023-06-14 07:10:00,2023-06-14 07:15:00,Long,1945.43,1945.11,-0.3200000000001637,SL Hit,1945.11,4.120000000000118,5.0,-0.6300000000001091,0.8099999999999454
2023-06-14 07:20:00,2023-06-14 07:35:00,Long,1945.73,1950.28,4.5499999999999545,Signal Reversed,1945.73,8.670000000000073,15.0,0.0,4.7999999999999545
