Entry Time,Exit Time,Direction,Entry Price,Exit Price,PnL,Exit Reason,SL Price,Cumulative PnL,Duration,MAE,MFE
2023-06-14 00:20:00,2023-06-14 00:30:00,Short,1945.23,1945.23,-0.0,SL Hit,1945.23,-0.0,10.0,0.2999999999999545,-1.0299999999999727
2023-06-14 00:40:00,2023-06-14 00:45:00,Short,1944.99,1945.19,-0.20000000000004547,SL Hit,1945.19,-0.20000000000004547,5.0,0.2300000000000182,-1.1900000000000546
2023-06-14 01:05:00,2023-06-14 01:20:00,Long,1944.46,1946.6,2.1399999999998727,Signal Reversed,1944.15,1.9399999999998272,15.0,-0.30999999999994543,2.25
2023-06-14 01:20:00,2023-06-14 01:35:00,Short,1946.6,1946.6,-0.0,SL Hit,1946.6,1.9399999999998272,15.0,0.3000000000001819,-1.199999999999818
2023-06-14 01:40:00,2023-06-14 01:45:00,Short,1946.8,1946.8,-0.0,SL Hit,1946.8,1.9399999999998272,5.0,0.3500000000001364,-1.0499999999999545
2023-06-14 01:50:00,2023-06-14 02:25:00,Short,1947.55,1947.55,-0.0,SL Hit,1947.55,1.9399999999998272,35.0,0.21000000000003638,-1.3099999999999454
2023-06-14 02:30:00,2023-06-14 03:30:00,Short,1947.77,1947.77,-0.0,SL Hit,1947.77,1.9399999999998272,60.0,0.2400000000000091,-1.4700000000000273
2023-06-14 03:35:00,2023-06-14 03:45:00,Short,1948.04,1948.12,-0.07999999999992724,SL Hit,1948.12,1.8599999999999,10.0,0.17000000000007276,-0.37999999999988177
2023-06-14 04:00:00,2023-06-14 04:30:00,Short,1949.14,1949.14,-0.0,SL Hit,1949.14,1.8599999999999,30.0,0.029999999999972715,-1.540000000000191
2023-06-14 04:40:00,2023-06-14 04:45:00,Short,1949.12,1949.12,-0.0,SL Hit,1949.12,1.8599999999999,5.0,0.17000000000007276,-0.8199999999999363
2023-06-14 04:55:00,2023-06-14 05:10:00,Short,1949.25,1948.66,0.5899999999999181,Signal Reversed,1949.25,2.449999999999818,15.0,-0.0,-0.9200000000000728
2023-06-14 05:10:00,2023-06-14 05:15:00,Long,1948.66,1948.33,-0.3300000000001546,SL Hit,1948.33,2.1199999999996635,5.0,-1.0600000000001728,0.25
2023-06-14 05:30:00,2023-06-14 05:55:00,Long,1946.75,1946.05,-0.7000000000000455,SL Hit,1946.05,1.419999999999618,25.0,-0.7000000000000455,1.2300000000000182
2023-06-14 06:05:00,2023-06-14 06:45:00,Long,1945.87,1945.58,-0.2899999999999636,SL Hit,1945.58,1.1299999999996544,40.0,-0.34999999999990905,1.7600000000002183
2023-06-14 06:50:00,2023-06-14 06:55:00,Long,1946.37,1945.6,-0.7699999999999818,SL Hit,1945.6,0.3599999999996726,5.0,-0.8699999999998909,0.2400000000000091
2023-06-14 07:05:00,2023-06-14 07:15:00,Long,1945.1,1945.1,0.0,SL Hit,1945.1,0.3599999999996726,10.0,-0.2999999999999545,1.2200000000000273
2023-06-14 07:20:00,2023-06-14 07:35:00,Long,1945.73,1950.28,4.5499999999999545,Signal Reversed,1945.73,4.909999999999627,15.0,0.0,4.7999999999999545
2023-06-14 07:35:00,2023-06-14 07:40:00,Short,1950.28,1950.53,-0.25,SL Hit,1950.53,4.659999999999627,5.0,0.4500000000000455,-1.1099999999999
2023-06-14 07:50:00,2023-06-14 09:00:00,Short,1950.75,1949.97,0.7799999999999727,Signal Reversed,1951.37,5.4399999999996,70.0,0.6199999999998909,-2.1900000000000546
2023-06-14 09:00:00,2023-06-14 09:05:00,Long,1949.97,1949.64,-0.32999999999992724,SL Hit,1949.64,5.109999999999673,5.0,-0.37000000000011823,0.9300000000000637
2023-06-14 09:10:00,2023-06-14 09:35:00,Long,1950.66,1952.69,2.0299999999999727,Signal Reversed,1950.66,7.139999999999645,25.0,0.0,2.099999999999909
2023-06-14 09:35:00,2023-06-14 10:20:00,Short,1952.69,1950.35,2.3400000000001455,Signal Reversed,1952.76,9.47999999999979,45.0,0.06999999999993634,-3.3900000000001
2023-06-14 10:20:00,2023-06-14 10:25:00,Long,1950.35,1950.15,-0.1999999999998181,SL Hit,1950.15,9.279999999999973,5.0,-0.5299999999999727,0.22000000000002728
2023-06-14 10:35:00,2023-06-14 10:50:00,Long,1948.78,1948.02,-0.7599999999999909,SL Hit,1948.02,8.519999999999982,15.0,-0.7699999999999818,0.17000000000007276
2023-06-14 11:10:00,2023-06-14 11:15:00,Long,1947.14,1947.12,-0.020000000000209184,SL Hit,1947.12,8.499999999999773,5.0,-1.1400000000001,0.37999999999988177
2023-06-14 11:20:00,2023-06-14 11:25:00,Long,1946.97,1946.78,-0.19000000000005457,SL Hit,1946.78,8.309999999999718,5.0,-0.9200000000000728,0.7899999999999636
2023-06-14 11:30:00,2023-06-14 11:35:00,Long,1946.23,1945.92,-0.30999999999994543,SL Hit,1945.92,7.999999999999773,5.0,-0.40000000000009095,0.32999999999992724
2023-06-14 11:40:00,2023-06-14 11:45:00,Long,1946.16,1946.14,-0.01999999999998181,SL Hit,1946.14,7.979999999999791,5.0,-0.8600000000001273,0.5
2023-06-14 11:50:00,2023-06-14 12:45:00,Long,1946.28,1959.7,13.420000000000073,Signal Reversed,1946.13,21.399999999999864,55.0,-0.14999999999986358,13.420000000000073
2023-06-14 12:45:00,2023-06-14 14:40:00,Short,1959.7,1956.23,3.4700000000000273,Signal Reversed,1959.7,24.86999999999989,115.0,-0.0,-4.730000000000018
2023-06-14 14:40:00,2023-06-14 14:45:00,Long,1956.23,1956.23,0.0,SL Hit,1956.23,24.86999999999989,5.0,-0.009999999999990905,1.3799999999998818
2023-06-14 14:50:00,2023-06-14 15:30:00,Long,1956.52,1958.34,1.8199999999999363,Signal Reversed,1956.12,26.689999999999827,40.0,-0.40000000000009095,2.3900000000001
2023-06-14 15:30:00,2023-06-14 15:40:00,Short,1958.34,1956.64,1.699999999999818,Signal Reversed,1958.91,28.389999999999645,10.0,0.5700000000001637,-2.439999999999827
2023-06-14 15:40:00,2023-06-14 15:45:00,Long,1956.64,1956.64,0.0,SL Hit,1956.64,28.389999999999645,5.0,-0.7300000000000182,0.6699999999998454
2023-06-14 15:50:00,2023-06-14 16:15:00,Long,1955.44,1956.8,1.3599999999999,Signal Reversed,1955.44,29.749999999999545,25.0,0.0,1.9400000000000546
2023-06-14 16:15:00,2023-06-14 16:25:00,Short,1956.8,1954.1,2.7000000000000455,Signal Reversed,1957.25,32.44999999999959,10.0,0.4500000000000455,-2.7000000000000455
2023-06-14 16:25:00,2023-06-14 17:00:00,Long,1954.1,1954.1,0.0,SL Hit,1954.1,32.44999999999959,35.0,-0.029999999999972715,2.1400000000001
2023-06-14 17:05:00,2023-06-14 17:45:00,Long,1954.52,1954.16,-0.35999999999989996,SL Hit,1954.16,32.08999999999969,40.0,-1.0299999999999727,1.1100000000001273
2023-06-14 17:50:00,2023-06-14 18:00:00,Long,1953.32,1953.21,-0.10999999999989996,SL Hit,1953.21,31.97999999999979,10.0,-10.019999999999982,0.7699999999999818
2023-06-14 18:10:00,2023-06-14 20:40:00,Long,1943.85,1941.55,-2.2999999999999545,SL Hit,1941.55,29.679999999999836,150.0,-2.599999999999909,8.75
2023-06-14 20:45:00,2023-06-14 20:50:00,Long,1941.15,1940.54,-0.6100000000001273,SL Hit,1940.54,29.06999999999971,5.0,-1.1400000000001,0.4199999999998454
2023-06-14 20:55:00,2023-06-14 23:40:00,Long,1940.02,1944.43,4.410000000000082,Signal Reversed,1939.66,33.47999999999979,165.0,-0.35999999999989996,5.110000000000127
2023-06-14 23:40:00,2023-06-14 23:50:00,Short,1944.43,1944.05,0.38000000000010914,Signal Reversed,1944.64,33.8599999999999,10.0,0.21000000000003638,-1.6300000000001091
2023-06-14 23:50:00,2023-06-15 00:00:00,Long,1944.05,1944.8,0.75,Signal Reversed,1943.4,34.6099999999999,10.0,-0.6499999999998636,1.1100000000001273
2023-06-15 00:00:00,2023-06-15 00:25:00,Short,1944.8,1942.2,2.599999999999909,Signal Reversed,1945.08,37.20999999999981,25.0,0.2799999999999727,-3.2000000000000455
2023-06-15 00:25:00,2023-06-15 00:30:00,Long,1942.2,1942.13,-0.06999999999993634,SL Hit,1942.13,37.13999999999987,5.0,-1.400000000000091,0.5
2023-06-15 00:55:00,2023-06-15 01:00:00,Long,1938.69,1938.69,0.0,SL Hit,1938.69,37.13999999999987,5.0,-2.019999999999982,0.5599999999999454
2023-06-15 01:05:00,2023-06-15 01:10:00,Long,1936.93,1936.93,0.0,SL Hit,1936.93,37.13999999999987,5.0,-1.3600000000001273,1.099999999999909
2023-06-15 01:35:00,2023-06-15 01:45:00,Long,1934.79,1934.79,0.0,SL Hit,1934.79,37.13999999999987,10.0,-0.32999999999992724,1.400000000000091
2023-06-15 01:50:00,2023-06-15 01:55:00,Long,1934.55,1934.31,-0.2400000000000091,SL Hit,1934.31,36.899999999999864,5.0,-1.5599999999999454,0.38000000000010914
2023-06-15 02:00:00,2023-06-15 02:30:00,Long,1933.19,1932.9,-0.2899999999999636,SL Hit,1932.9,36.6099999999999,30.0,-0.39000000000010004,2.240000000000009
2023-06-15 02:35:00,2023-06-15 04:00:00,Long,1934.12,1933.61,-0.5099999999999909,SL Hit,1933.61,36.09999999999991,85.0,-0.9199999999998454,2.2200000000000273
2023-06-15 04:05:00,2023-06-15 04:10:00,Long,1933.97,1933.65,-0.31999999999993634,SL Hit,1933.65,35.77999999999997,5.0,-0.36000000000012733,0.6600000000000819
2023-06-15 04:40:00,2023-06-15 05:15:00,Short,1935.13,1931.86,3.270000000000209,Signal Reversed,1935.3,39.05000000000018,35.0,0.16999999999984539,-4.370000000000118
2023-06-15 05:15:00,2023-06-15 05:30:00,Long,1931.86,1935.86,4.0,Signal Reversed,1931.53,43.05000000000018,15.0,-0.32999999999992724,4.100000000000136
2023-06-15 05:30:00,2023-06-15 05:40:00,Short,1935.86,1935.96,-0.10000000000013642,SL Hit,1935.96,42.950000000000045,10.0,0.3400000000001455,-1.0
2023-06-15 06:05:00,2023-06-15 06:10:00,Short,1936.46,1936.46,-0.0,SL Hit,1936.46,42.950000000000045,5.0,0.25,-0.9300000000000637
2023-06-15 06:15:00,2023-06-15 07:10:00,Short,1936.79,1930.12,6.670000000000073,Signal Reversed,1936.79,49.62000000000012,55.0,-0.0,-7.539999999999964
2023-06-15 07:10:00,2023-06-15 07:50:00,Long,1930.12,1933.72,3.6000000000001364,Signal Reversed,1929.48,53.220000000000255,40.0,-0.6399999999998727,4.060000000000173
2023-06-15 07:50:00,2023-06-15 07:55:00,Short,1933.72,1933.97,-0.25,SL Hit,1933.97,52.970000000000255,5.0,0.4500000000000455,-0.7200000000000273
